Sl. No.,Unit,Chapter,Topics,Lesson ID,Lessons,Tags
43,Geometry,Triangles,Pythagorean theorem,gre_lid_043,a² + b² = c²,"geometry, triangles, Pythagorean-theorem, right-triangle"
44,Geometry,Triangles,30-60-90 triangles,gre_lid_044,Side ratios 1:√3:2,"geometry, triangles, special-triangles, 30-60-90, ratios"
45,Geometry,Triangles,45-45-90 triangles,gre_lid_045,Side ratios 1:1:√2,"geometry, triangles, special-triangles, 45-45-90, isosceles-right"
46,Geometry,Triangles,Area of triangle,gre_lid_046,½ × base × height,"geometry, triangles, area, formulas, calculation"
47,Geometry,Quadrilaterals & Polygons,Parallelograms,gre_lid_047,Opposite sides equal and parallel,"geometry, quadrilaterals, parallelograms, properties"
48,Geometry,Quadrilaterals & Polygons,Rectangles,gre_lid_048,All angles 90°,"geometry, quadrilaterals, rectangles, right-angles, properties"
49,Geometry,Quadrilaterals & Polygons,Squares,gre_lid_049,Equal sides and angles,"geometry, quadrilaterals, squares, properties, regular"
50,Geometry,Quadrilaterals & Polygons,Trapezoids,gre_lid_050,One pair of parallel sides,"geometry, quadrilaterals, trapezoids, properties"
51,Geometry,Quadrilaterals & Polygons,Regular polygons,gre_lid_051,Equal sides and angles,"geometry, polygons, regular-polygons, symmetry"
52,Geometry,Quadrilaterals & Polygons,Perimeter,gre_lid_052,Sum of all sides,"geometry, perimeter, measurement, polygons"
53,Geometry,Quadrilaterals & Polygons,Area formulas,gre_lid_053,Rectangle/parallelogram/trapezoid,"geometry, area, formulas, quadrilaterals, calculation"
54,Geometry,Quadrilaterals & Polygons,Diagonal properties,gre_lid_054,Bisection and perpendicularity,"geometry, diagonals, properties, quadrilaterals"
55,Geometry,Circles,Circumference,gre_lid_055,C = 2πr,"geometry, circles, circumference, formulas, pi"
56,Geometry,Circles,Area,gre_lid_056,A = πr²,"geometry, circles, area, formulas, pi"
57,Geometry,Circles,Arcs,gre_lid_057,Arc length formula,"geometry, circles, arcs, measurement, formulas"
58,Geometry,Circles,Sectors,gre_lid_058,Sector area formula,"geometry, circles, sectors, area, formulas"
59,Geometry,Circles,Central angles,gre_lid_059,Angle at center,"geometry, circles, central-angles, angle-measurement"
60,Geometry,Circles,Inscribed angles,gre_lid_060,Angle = ½ central angle,"geometry, circles, inscribed-angles, theorems"
61,Geometry,Circles,Tangents,gre_lid_061,Perpendicular to radius,"geometry, circles, tangents, perpendicular, properties"
62,Geometry,Circles,Chords,gre_lid_062,Chord properties and theorems,"geometry, circles, chords, theorems, properties"
63,Geometry,3D Geometry,Cubes,gre_lid_063,Volume = s³,"geometry, 3D, cubes, volume, formulas"
64,Geometry,3D Geometry,Cubes,gre_lid_064,Surface area = 6s²,"geometry, 3D, cubes, surface-area, formulas"
65,Geometry,3D Geometry,Rectangular solids,gre_lid_065,Volume = l × w × h,"geometry, 3D, rectangular-solids, cuboid, volume, formulas"
66,Geometry,3D Geometry,Cylinders,gre_lid_066,Volume = πr²h,"geometry, 3D, cylinders, volume, formulas, pi"
67,Geometry,3D Geometry,Cylinders,gre_lid_067,Surface area = 2πr² + 2πrh,"geometry, 3D, cylinders, surface-area, formulas"
68,Geometry,3D Geometry,Cones,gre_lid_068,Volume = ⅓πr²h,"geometry, 3D, cones, volume, formulas"
69,Geometry,3D Geometry,Spheres,gre_lid_069,Volume = ⁴⁄₃πr³,"geometry, 3D, spheres, volume, formulas"
70,Geometry,3D Geometry,Spheres,gre_lid_070,Surface area = 4πr²,"geometry, 3D, spheres, surface-area, formulas"
71,Geometry,3D Geometry,Volume ratios,gre_lid_071,Scaling and proportions,"geometry, 3D, volume-ratios, scaling, proportions"
72,Geometry,Coordinate Geometry,Distance formula,gre_lid_072,d = √[(x₂-x₁)² + (y₂-y₁)²],"geometry, coordinate-geometry, distance-formula, Cartesian-plane"
73,Geometry,Coordinate Geometry,Midpoint formula,gre_lid_073,M = ((x₁+x₂)/2,"(y₁+y₂)/2)""geometry"
74,Geometry,Coordinate Geometry,Slope,gre_lid_074,m = (y₂-y₁)/(x₂-x₁),"geometry, coordinate-geometry, slope, gradient, lines"
75,Geometry,Coordinate Geometry,Slope-intercept form,gre_lid_075,y = mx + b,"geometry, coordinate-geometry, slope-intercept, linear-equations"
76,Geometry,Coordinate Geometry,Parallel lines,gre_lid_076,Equal slopes,"geometry, coordinate-geometry, parallel-lines, slope"
77,Geometry,Coordinate Geometry,Perpendicular lines,gre_lid_077,m₁ × m₂ = -1,"geometry, coordinate-geometry, perpendicular-lines, slope, negative-reciprocal"
78,Geometry,Coordinate Geometry,X and Y intercepts,gre_lid_078,Setting y=0 and x=0,"geometry, coordinate-geometry, intercepts, graphing"
79,Algebra,Linear Equations,Solving for single variable,gre_lid_079,Isolation techniques,"algebra, linear-equations, solving, single-variable"
80,Algebra,Linear Equations,Systems of equations,gre_lid_080,Elimination method,"algebra, linear-equations, systems, elimination, simultaneous"
81,Algebra,Linear Equations,Systems of equations,gre_lid_081,Substitution method,"algebra, linear-equations, systems, substitution, simultaneous"
82,Algebra,Linear Equations,Word problem translation,gre_lid_082,Setting up equations,"algebra, linear-equations, word-problems, translation, modeling"
83,Algebra,Quadratic Equations & Expressions,Factoring,gre_lid_083,Middle term splitting,"algebra, quadratic, factoring, middle-term-splitting"
84,Algebra,Quadratic Equations & Expressions,Factoring,gre_lid_084,Difference of squares,"algebra, quadratic, factoring, difference-of-squares, a²-b²"
85,Algebra,Quadratic Equations & Expressions,Quadratic formula,gre_lid_085,x = [-b ± √(b²-4ac)]/(2a),"algebra, quadratic, quadratic-formula, roots, solving"
86,Algebra,Quadratic Equations & Expressions,Discriminant,gre_lid_086,b² - 4ac for root analysis,"algebra, quadratic, discriminant, root-analysis, nature-of-roots"
87,Algebra,Quadratic Equations & Expressions,Sum of roots,gre_lid_087,α + β = -b/a,"algebra, quadratic, sum-of-roots, Vieta-formulas, relationships"
88,Algebra,Quadratic Equations & Expressions,Product of roots,gre_lid_088,αβ = c/a,"algebra, quadratic, product-of-roots, Vieta-formulas, relationships"
89,Algebra,Quadratic Equations & Expressions,Exponent rules,gre_lid_089,aᵐ × aⁿ = aᵐ⁺ⁿ,"algebra, exponents, laws-of-exponents, powers, simplification"
90,Algebra,Quadratic Equations & Expressions,Radical simplification,gre_lid_090,√(ab) = √a × √b,"algebra, radicals, simplification, square-roots, surds"
91,Algebra,Inequalities,Linear inequalities,gre_lid_091,Solving and graphing,"algebra, inequalities, linear, solving, graphing, number-line"
92,Algebra,Inequalities,Quadratic inequalities,gre_lid_092,Sign analysis method,"algebra, inequalities, quadratic, sign-analysis, wavy-curve"
93,Algebra,Inequalities,Absolute value inequalities,gre_lid_093,|x| < a and |x| > a,"algebra, inequalities, absolute-value, modulus, solving"
94,Algebra,Inequalities,Range finding,gre_lid_094,Solution sets on number line,"algebra, inequalities, solution-sets, intervals, number-line"
95,Algebra,Functions & Graphs,Function notation,gre_lid_095,f(x) evaluation,"algebra, functions, notation, evaluation, mapping"
96,Algebra,Functions & Graphs,Domain,gre_lid_096,Input values,"algebra, functions, domain, input-values, x-values"
97,Algebra,Functions & Graphs,Range,gre_lid_097,Output values,"algebra, functions, range, output-values, y-values"
98,Algebra,Functions & Graphs,Function composition,gre_lid_098,f(g(x)),"algebra, functions, composition, composite-functions, fog"
99,Algebra,Functions & Graphs,Transformations,gre_lid_099,Shifts and reflections,"algebra, functions, transformations, translations, reflections, graphing"
100,Algebra,Functions & Graphs,Word graphs,gre_lid_100,Interpreting real-world scenarios,"algebra, functions, word-graphs, interpretation, real-world"
101,Algebra,Sequences & Series,Arithmetic progression,gre_lid_101,aₙ = a₁ + (n-1)d,"algebra, sequences, AP, arithmetic-progression, nth-term"
102,Algebra,Sequences & Series,Arithmetic sum,gre_lid_102,Sₙ = n/2 × (2a₁ + (n-1)d),"algebra, sequences, AP, arithmetic-progression, sum-formula"
103,Algebra,Sequences & Series,Geometric progression,gre_lid_103,aₙ = a₁ × rⁿ⁻¹,"algebra, sequences, GP, geometric-progression, nth-term"
104,Algebra,Sequences & Series,Geometric sum,gre_lid_104,Sₙ = a₁(rⁿ - 1)/(r - 1),"algebra, sequences, GP, geometric-progression, sum-formula"
105,Algebra,Sequences & Series,Applications,gre_lid_105,Problem solving with sequences,"algebra, sequences, applications, problem-solving, series"
106,Arithmetic,Number Properties,Integers,gre_lid_106,Positive/negative/zero,"arithmetic, integers, number-types, positive-negative, number-line"
107,Arithmetic,Number Properties,Even and Odd,gre_lid_107,Properties and operations,"arithmetic, even-odd, parity, number-properties, operations"
108,Arithmetic,Number Properties,Divisibility rules,gre_lid_108,Tests for 2 through 11,"arithmetic, divisibility, divisibility-rules, tests, shortcuts"
109,Arithmetic,Number Properties,Prime numbers,gre_lid_109,Identification and properties,"arithmetic, primes, prime-numbers, number-theory"
110,Arithmetic,Number Properties,Prime factorization,gre_lid_110,Breaking down to primes,"arithmetic, prime-factorization, factorization, number-theory"
111,Arithmetic,Number Properties,LCM,gre_lid_111,Least common multiple,"arithmetic, LCM, least-common-multiple, multiples"
112,Arithmetic,Number Properties,HCF/GCD,gre_lid_112,Highest common factor,"arithmetic, HCF, GCD, greatest-common-divisor, factors"
113,Arithmetic,Number Properties,Factors and Multiples,gre_lid_113,Finding and counting,"arithmetic, factors, multiples, divisors, number-theory"
114,Arithmetic,Number Properties,Remainder theorems,gre_lid_114,Division remainders,"arithmetic, remainders, modular-arithmetic, division"
115,Arithmetic,Ratios & Proportions,Ratios,gre_lid_115,Simplifying and comparing,"arithmetic, ratios, simplification, comparison"
116,Arithmetic,Ratios & Proportions,Proportions,gre_lid_116,Cross multiplication,"arithmetic, proportions, cross-multiplication, solving, ratios"
117,Arithmetic,Ratios & Proportions,Direct proportion,gre_lid_117,y = kx,"arithmetic, direct-proportion, variation, proportionality"
118,Arithmetic,Ratios & Proportions,Inverse proportion,gre_lid_118,xy = k,"arithmetic, inverse-proportion, inverse-variation, proportionality"
119,Arithmetic,Ratios & Proportions,Rates,gre_lid_119,Unit conversion,"arithmetic, rates, unit-conversion, speed, time"
120,Arithmetic,Percentages & Fractions,Percent to fraction,gre_lid_120,Conversion techniques,"arithmetic, percentages, fractions, conversion, transformation"
121,Arithmetic,Percentages & Fractions,Percent change,gre_lid_121,Increase/decrease formula,"arithmetic, percentages, percent-change, increase-decrease, growth"
122,Arithmetic,Percentages & Fractions,Successive percentages,gre_lid_122,Combined effect,"arithmetic, percentages, successive-percentages, compound"
123,Arithmetic,Percentages & Fractions,Reverse percentages,gre_lid_123,Finding original value,"arithmetic, percentages, reverse-calculation, original-value"
124,Arithmetic,Percentages & Fractions,Fraction simplification,gre_lid_124,Common denominators,"arithmetic, fractions, simplification, LCM, common-denominators"
125,Arithmetic,Percentages & Fractions,Decimal conversion,gre_lid_125,Fraction ↔ decimal,"arithmetic, fractions, decimals, conversion, transformation"
126,Arithmetic,Averages & Mixtures,Mean,gre_lid_126,Sum/count,"arithmetic, averages, mean, average, central-tendency"
127,Arithmetic,Averages & Mixtures,Weighted mean,gre_lid_127,Different weights,"arithmetic, averages, weighted-mean, weighted-average, weights"
128,Arithmetic,Averages & Mixtures,Combined averages,gre_lid_128,Merging groups,"arithmetic, averages, combined-averages, merging, groups"
129,Arithmetic,Averages & Mixtures,Mixture problems,gre_lid_129,Alligation method,"arithmetic, mixtures, alligation, concentration, word-problems"
130,Arithmetic,Averages & Mixtures,Concentration,gre_lid_130,Mixing solutions,"arithmetic, mixtures, concentration, solutions, percentage"
131,Arithmetic,"Time, Work & Distance",Speed = Distance/Time,gre_lid_131,Relative speed,"arithmetic, time-speed-distance, speed, relative-speed, motion"
132,Arithmetic,"Time, Work & Distance",Work = Rate × Time,gre_lid_132,Combined work,"arithmetic, time-work, work-rate, efficiency, combined-work"
133,Arithmetic,"Time, Work & Distance",Work = Rate × Time,gre_lid_133,Pipes & cisterns,"arithmetic, time-work, pipes-cisterns, work-rate, filling-emptying"
