Sl. No.,topic_number,lesson_code,lesson_title,conceptual_focus,lesson_description,skill_emphasis,assessment_context,difficulty_level,learning_outcome
11,SL 1.4,SL 1.4b,Annual Depreciation and Investment Analysis,Applying geometric sequences to depreciation and investment calculations.,Students calculate annual depreciation rates and analyze real investment values with inflation considerations.,"Calculate, analyze, interpret",Paper 2 (contextual problems),5 / 10,Students should be able to calculate depreciation and real investment values using geometric sequence principles.
12,SL 1.4,SL 1.4c,Technology and Financial Modeling,Using technology to solve complex financial problems involving geometric sequences.,"Students use GDCs and financial packages to model compound interest, depreciation, and investment scenarios.","Use technology, model, solve",Paper 2 (technology applications),6 / 10,Students should be able to use appropriate technology to solve complex financial problems involving geometric sequences.
13,SL 1.5,SL 1.5a,Introduction to Logarithms,Understanding logarithms as the inverse of exponential functions.,"Students explore the relationship between a^x = b and log_a(b) = x, focusing on base 10 and base e.","Understand, connect, explore",Paper 1 (conceptual understanding),3 / 10,Students should be able to understand the logarithmic relationship and convert between exponential and logarithmic forms.
14,SL 1.5,SL 1.5b,Evaluating Logarithms Using Technology,Using technology to evaluate logarithms and understanding their properties.,"Students use calculators and technology to find log values, understanding the domain restrictions and special cases.","Use technology, evaluate, understand",Paper 1 (calculation skills),4 / 10,Students should be able to evaluate logarithms using technology and understand their mathematical properties.
15,SL 1.5,SL 1.5c,Logarithmic Applications in Context,Applying logarithms to real-world contexts like Richter scale and pH calculations.,"Students solve problems involving logarithmic scales in physics, chemistry, and other scientific contexts.","Apply, solve, interpret",Paper 2 (contextual applications),5 / 10,Students should be able to apply logarithmic concepts to solve real-world problems in various scientific contexts.
16,SL 1.6,SL 1.6a,Introduction to Mathematical Proof,Understanding the nature and structure of mathematical proof.,"Students learn about equality vs identity, LHS to RHS proofs, and the importance of logical reasoning in mathematics.","Understand, reason, justify",Paper 1 (proof structure),4 / 10,Students should be able to understand the basic structure of mathematical proofs and distinguish between equality and identity.
17,SL 1.6,SL 1.6b,Simple Deductive Proof Techniques,Developing skills in basic deductive proof methods.,"Students practice LHS to RHS proofs, numerical verification, and algebraic manipulation to establish mathematical truths.","Prove, manipulate, verify",Paper 1 (proof techniques),5 / 10,Students should be able to construct simple deductive proofs using appropriate algebraic techniques.
18,SL 1.6,SL 1.6c,Checking and Verifying Results,Learning to verify mathematical results and check one's own work.,"Students develop skills in self-checking, result verification, and identifying errors in mathematical reasoning.","Check, verify, self-assess",Paper 1 (verification skills),4 / 10,Students should be able to check their mathematical results and verify the correctness of their solutions.
19,SL 1.7,SL 1.7a,Laws of Exponents with Rational Exponents,Understanding and applying exponent laws to rational exponents.,Students explore a^(m/n) = n√(a^m) and apply exponent laws to expressions with fractional exponents.,"Understand, apply, simplify",Paper 1 (exponent manipulation),4 / 10,Students should be able to simplify expressions with rational exponents using appropriate laws and notation.
20,SL 1.7,SL 1.7b,Fundamental Laws of Logarithms,Understanding and applying the basic logarithmic identities and laws.,"Students learn and apply log_a(xy) = log_a(x) + log_a(y), log_a(x/y) = log_a(x) - log_a(y), and log_a(x^n) = n·log_a(x).","Apply, manipulate, solve",Paper 1 (logarithmic manipulation),5 / 10,Students should be able to apply logarithmic laws to simplify and solve logarithmic expressions.
21,SL 1.7,SL 1.7c,Change of Base and Logarithmic Equations,Using change of base formula and solving logarithmic equations.,Students apply log_a(x) = log_b(x)/log_b(a) and solve equations involving logarithms with different bases.,"Solve, convert, apply",Paper 1 (equation solving),6 / 10,Students should be able to change logarithmic bases and solve equations involving logarithms.
22,SL 1.8,SL 1.8a,Infinite Geometric Series and Convergence,Understanding when geometric series converge and their sum formula.,Students explore the condition |r| < 1 for convergence and derive S_∞ = u₁/(1-r) for infinite geometric series.,"Understand, derive, apply",Paper 1 (series convergence),5 / 10,Students should be able to determine convergence of infinite geometric series and calculate their sums.
23,SL 1.8,SL 1.8b,Applications of Infinite Series,Applying infinite geometric series to real-world problems.,"Students solve problems involving infinite series in contexts like repeating decimals, fractal geometry, and mathematical modeling.","Apply, model, interpret",Paper 2 (contextual applications),6 / 10,Students should be able to apply infinite geometric series to solve real-world problems and interpret results.
24,SL 1.8,SL 1.8c,Modulus and Series Convergence,Understanding the role of modulus in series convergence criteria.,"Students explore |r| < 1 condition, work with negative ratios, and understand the geometric interpretation of convergence.","Understand, analyze, interpret",Paper 1 (conceptual understanding),5 / 10,Students should be able to understand and apply modulus conditions for series convergence.
25,SL 1.9,SL 1.9a,Introduction to the Binomial Theorem,Understanding the expansion of (a + b)^n for positive integer exponents.,"Students explore Pascal's triangle, understand the pattern of coefficients, and learn the basic binomial expansion formula.","Understand, recognize, apply",Paper 1 (pattern recognition),4 / 10,Students should be able to understand the binomial theorem and recognize its applications.
26,SL 1.9,SL 1.9b,Using Pascal's Triangle and Combinations,Applying Pascal's triangle and combination notation to binomial expansions.,"Students learn to use nCr notation, find specific terms in expansions, and connect combinations to binomial coefficients.","Apply, calculate, find",Paper 1 (calculation skills),5 / 10,Students should be able to use Pascal's triangle and combinations to find specific terms in binomial expansions.
27,SL 1.9,SL 1.9c,Applications of the Binomial Theorem,Applying binomial theorem to solve problems and find specific terms.,"Students solve problems involving binomial expansions, find particular terms, and apply the theorem in various contexts.","Apply, solve, find",Paper 1 (problem solving),6 / 10,Students should be able to apply the binomial theorem to solve problems and find specific terms in expansions.
28,AHL 1.10,AHL 1.10a,Counting Principles and Permutations,Understanding fundamental counting principles and permutation concepts.,"Students explore the multiplication principle, factorial notation, and calculate permutations for different arrangements.","Count, calculate, arrange",Paper 1 (counting problems),5 / 10,Students should be able to apply counting principles and calculate permutations in various contexts.
29,AHL 1.10,AHL 1.10b,Combinations and Selection Problems,Understanding combinations and their applications in selection problems.,"Students learn the difference between permutations and combinations, calculate nCr, and solve selection problems.","Distinguish, calculate, select",Paper 1 (combination problems),6 / 10,Students should be able to distinguish between permutations and combinations and solve selection problems.
30,AHL 1.10,AHL 1.10c,Extended Binomial Theorem,Extending the binomial theorem to fractional and negative indices.,"Students explore (a + b)^n for n ∈ ℚ, understand convergence conditions, and apply to approximations.","Extend, understand, approximate",Paper 1 (extended applications),7 / 10,Students should be able to apply the extended binomial theorem to fractional and negative indices.
31,AHL 1.11,AHL 1.11a,Introduction to Partial Fractions,Understanding the decomposition of rational expressions into partial fractions.,Students learn to express rational functions as sums of simpler fractions with linear denominators.,"Decompose, express, simplify",Paper 1 (algebraic manipulation),6 / 10,Students should be able to decompose rational expressions into partial fractions with linear denominators.
32,AHL 1.11,AHL 1.11b,Partial Fractions with Two Linear Terms,Working with partial fractions containing two distinct linear factors.,Students practice decomposing expressions like (2x+1)/((x-1)(x+2)) into A/(x-1) + B/(x+2) form.,"Decompose, solve, verify",Paper 1 (partial fraction decomposition),7 / 10,Students should be able to decompose rational expressions with two linear factors into partial fractions.
33,AHL 1.11,AHL 1.11c,Applications of Partial Fractions,Applying partial fractions to integration and other mathematical contexts.,Students connect partial fractions to integration techniques and solve problems involving rational function integration.,"Apply, integrate, solve",Paper 1 (integration applications),7 / 10,Students should be able to apply partial fractions to solve integration problems involving rational functions.
34,AHL 1.12,AHL 1.12a,Introduction to Complex Numbers,Understanding the imaginary unit i and basic complex number operations.,"Students explore i = √(-1), complex number form a + bi, and basic arithmetic operations with complex numbers.","Understand, operate, represent",Paper 1 (complex arithmetic),5 / 10,Students should be able to perform basic arithmetic operations with complex numbers in Cartesian form.
35,AHL 1.12,AHL 1.12b,Complex Plane and Argand Diagrams,Representing complex numbers geometrically in the complex plane.,"Students plot complex numbers, understand real/imaginary parts, conjugates, and geometric interpretations.","Plot, interpret, visualize",Paper 1 (geometric representation),6 / 10,Students should be able to represent complex numbers geometrically and understand their properties in the complex plane.
36,AHL 1.12,AHL 1.12c,Modulus and Argument of Complex Numbers,Understanding the modulus and argument of complex numbers.,"Students calculate |z| and arg(z), understand their geometric meaning, and connect to vector representations.","Calculate, interpret, connect",Paper 1 (modulus and argument),6 / 10,Students should be able to calculate and interpret the modulus and argument of complex numbers.
37,AHL 1.13,AHL 1.13a,Polar and Euler Forms of Complex Numbers,"Converting between Cartesian, polar, and Euler forms of complex numbers.","Students learn z = r(cos θ + i sin θ) = r cis θ and z = re^(iθ), understanding the connections between forms.","Convert, represent, understand",Paper 1 (form conversion),6 / 10,"Students should be able to convert complex numbers between Cartesian, polar, and Euler forms."
38,AHL 1.13,AHL 1.13b,Operations in Different Complex Forms,Performing arithmetic operations in polar and Euler forms.,"Students add, multiply, and divide complex numbers in polar/Euler forms, understanding geometric interpretations.","Operate, interpret, visualize",Paper 1 (complex operations),7 / 10,Students should be able to perform arithmetic operations with complex numbers in polar and Euler forms.
39,AHL 1.13,AHL 1.13c,Geometric Interpretation of Complex Operations,Understanding the geometric meaning of complex number operations.,Students explore how multiplication by complex numbers represents rotations and scalings in the complex plane.,"Interpret, visualize, understand",Paper 1 (geometric understanding),7 / 10,Students should be able to interpret complex number operations geometrically in the complex plane.
40,AHL 1.14,AHL 1.14a,Complex Roots of Polynomial Equations,Understanding complex conjugate roots of polynomials with real coefficients.,Students explore how complex roots occur in conjugate pairs and solve polynomial equations with complex solutions.,"Solve, understand, apply",Paper 1 (polynomial equations),7 / 10,Students should be able to find complex roots of polynomial equations and understand conjugate pair properties.
41,AHL 1.14,AHL 1.14b,De Moivre's Theorem,Understanding and applying De Moivre's theorem for powers and roots.,Students learn (r cis θ)^n = r^n cis(nθ) and apply it to find powers and roots of complex numbers.,"Apply, calculate, derive",Paper 1 (De Moivre applications),8 / 10,Students should be able to apply De Moivre's theorem to find powers and roots of complex numbers.
42,AHL 1.14,AHL 1.14c,Proof by Induction for De Moivre's Theorem,Proving De Moivre's theorem using mathematical induction.,Students develop proof by induction skills while establishing the validity of De Moivre's theorem for positive integers.,"Prove, induct, establish",Paper 1 (proof by induction),8 / 10,Students should be able to prove De Moivre's theorem using mathematical induction.
43,AHL 1.15,AHL 1.15a,Mathematical Induction Fundamentals,Understanding the principle and structure of proof by mathematical induction.,"Students learn the base case, inductive hypothesis, and inductive step, applying to simple mathematical statements.","Understand, apply, prove",Paper 1 (induction basics),7 / 10,Students should be able to understand and apply the basic structure of mathematical induction.
44,AHL 1.15,AHL 1.15b,Proof by Contradiction,Understanding and applying proof by contradiction techniques.,"Students learn to assume the negation of what they want to prove and derive a contradiction, exploring classic examples.","Assume, derive, contradict",Paper 1 (contradiction proofs),8 / 10,Students should be able to construct proofs by contradiction for various mathematical statements.
45,AHL 1.15,AHL 1.15c,Counterexamples and Disproof,Using counterexamples to show that statements are not always true.,Students learn to find specific examples that contradict general statements and explain why they serve as counterexamples.,"Find, explain, disprove",Paper 1 (counterexample construction),7 / 10,Students should be able to construct counterexamples to disprove mathematical statements and explain their validity.
46,AHL 1.16,AHL 1.16a,Systems of Linear Equations,Understanding and solving systems of linear equations with up to three unknowns.,"Students learn to solve systems using algebraic methods and technology, understanding unique solutions, infinite solutions, and no solutions.","Solve, analyze, interpret",Paper 1 (system solving),6 / 10,Students should be able to solve systems of linear equations and interpret the nature of their solutions.
47,AHL 1.16,AHL 1.16b,Matrix Methods and Row Reduction,Using matrices and row reduction to solve systems of linear equations.,"Students learn matrix representation of systems, row reduction techniques, and technological methods for solving linear systems.","Represent, reduce, solve",Paper 1 (matrix methods),7 / 10,Students should be able to use matrix methods and row reduction to solve systems of linear equations.
48,AHL 1.16,AHL 1.16c,General Solutions and Inconsistent Systems,Understanding general solutions for systems with infinite solutions and identifying inconsistent systems.,Students learn to find general solutions for systems with infinitely many solutions and recognize when systems have no solutions.,"Find, recognize, interpret",Paper 1 (solution analysis),7 / 10,Students should be able to find general solutions and identify inconsistent systems of linear equations.
49,SL 2.1,SL 2.1a,Equations of Straight Lines,Understanding different forms of linear equations and their applications.,"Students learn y = mx + c, ax + by + d = 0, and y - y₁ = m(x - x₁) forms, connecting to real-world contexts like gradients of roads.","Understand, apply, connect",Paper 1 (linear equations),3 / 10,Students should be able to write equations of straight lines in various forms and apply them to real-world problems.
50,SL 2.1,SL 2.1b,Gradients and Intercepts,"Understanding and calculating gradients, intercepts, and their geometric meaning.","Students learn to find gradients, x and y intercepts, and understand their significance in linear relationships and real contexts.","Calculate, interpret, apply",Paper 1 (gradient analysis),4 / 10,Students should be able to calculate gradients and intercepts and interpret their meaning in various contexts.
51,SL 2.1,SL 2.1c,Parallel and Perpendicular Lines,Understanding the relationships between gradients of parallel and perpendicular lines.,"Students learn m₁ = m₂ for parallel lines and m₁ × m₂ = -1 for perpendicular lines, applying to geometric and real-world problems.","Understand, apply, solve",Paper 1 (line relationships),4 / 10,Students should be able to determine and use relationships between gradients of parallel and perpendicular lines.
52,SL 2.2,SL 2.2a,Concept of Functions,Understanding the fundamental concept of functions as mathematical models.,"Students explore function notation f(x), domain, range, and the concept of functions as mappings from inputs to outputs.","Understand, define, represent",Paper 1 (function concepts),3 / 10,Students should be able to understand and represent functions using appropriate notation and identify their domains and ranges.
53,SL 2.2,SL 2.2b,Inverse Functions,Understanding the concept and properties of inverse functions.,"Students learn about one-to-one functions, inverse notation f⁻¹(x), and the relationship between a function and its inverse.","Understand, find, relate",Paper 1 (inverse functions),4 / 10,Students should be able to understand inverse functions and find inverses of one-to-one functions.
54,SL 2.2,SL 2.2c,Graphical Representation of Functions,Understanding how to represent functions graphically and interpret their features.,"Students learn to sketch functions, understand the relationship between f(x) and f⁻¹(x) as reflections in y = x, and interpret graphs.","Sketch, interpret, relate",Paper 1 (graphical representation),4 / 10,Students should be able to sketch functions and understand the graphical relationship between functions and their inverses.
55,SL 2.3,SL 2.3a,Graphing Functions and Technology,Using technology to graph functions and understanding the equation y = f(x).,"Students learn to use graphing technology, transfer graphs from screen to paper, and understand the difference between 'draw' and 'sketch'.","Use technology, transfer, understand",Paper 1 (graphing skills),4 / 10,Students should be able to use technology to graph functions and transfer graphical information accurately.
56,SL 2.3,SL 2.3b,Creating Sketches from Information,Developing skills to create function sketches from given information or context.,"Students learn to sketch functions from verbal descriptions, context clues, and mathematical information, labeling all key features.","Sketch, label, interpret",Paper 1 (sketching skills),5 / 10,Students should be able to create accurate function sketches from given information and context.
57,SL 2.3,SL 2.3c,Graphing Sums and Differences of Functions,Understanding how to graph combinations of functions using technology.,"Students explore how to graph f(x) + g(x) and f(x) - g(x) using technology, understanding the graphical effects of function operations.","Combine, graph, understand",Paper 1 (function combinations),5 / 10,Students should be able to graph sums and differences of functions using appropriate technology.
58,SL 2.4,SL 2.4a,Key Features of Function Graphs,Identifying and analyzing key features of function graphs.,"Students learn to identify maximum/minimum values, intercepts, symmetry, vertices, zeros, and asymptotes using graphing technology.","Identify, analyze, interpret",Paper 1 (graph analysis),5 / 10,Students should be able to identify and interpret key features of function graphs.
59,SL 2.4,SL 2.4b,Intersection Points and Technology,Finding points of intersection between curves and lines using technology.,"Students learn to use technology to find intersection points, understanding the graphical and algebraic significance of these points.","Find, interpret, connect",Paper 1 (intersection analysis),5 / 10,Students should be able to find intersection points using technology and interpret their meaning.
60,SL 2.4,SL 2.4c,Asymptotes and Graph Behavior,Understanding vertical and horizontal asymptotes and their graphical significance.,"Students learn to identify asymptotes using graphing technology, understanding how they affect the behavior of functions.","Identify, understand, analyze",Paper 1 (asymptote analysis),6 / 10,Students should be able to identify and understand the significance of asymptotes in function graphs.
61,SL 2.5,SL 2.5a,Composite Functions,Understanding and working with composite functions f ∘ g(x) = f(g(x)).,"Students learn to compose functions, understand the order of operations, and work with composite function notation.","Compose, understand, apply",Paper 1 (function composition),5 / 10,Students should be able to compose functions and understand the notation and order of operations.
62,SL 2.5,SL 2.5b,Identity Function and Function Properties,Understanding the identity function and its role in function operations.,"Students explore the identity function f(x) = x, understand f ∘ f⁻¹(x) = f⁻¹ ∘ f(x) = x, and work with function properties.","Understand, explore, apply",Paper 1 (function properties),5 / 10,Students should be able to understand the identity function and its role in function operations.
63,SL 2.5,SL 2.5c,Existence of Inverse Functions,Understanding when inverse functions exist and their properties.,"Students learn about one-to-one functions, the conditions for inverse existence, and how to determine if a function has an inverse.","Understand, determine, analyze",Paper 1 (inverse existence),6 / 10,Students should be able to determine when functions have inverses and understand the conditions for inverse existence.
64,SL 2.6,SL 2.6a,Quadratic Functions and Their Graphs,Understanding the properties and graphs of quadratic functions.,"Students explore f(x) = ax² + bx + c, learn about parabolas, y-intercepts, and axis of symmetry in quadratic functions.","Understand, graph, analyze",Paper 1 (quadratic functions),4 / 10,Students should be able to understand and graph quadratic functions and identify their key properties.
65,SL 2.6,SL 2.6b,Forms of Quadratic Functions,Working with different forms of quadratic functions and their applications.,"Students learn f(x) = a(x-p)(x-q) for x-intercepts and f(x) = a(x-h)² + k for vertex form, converting between forms.","Convert, apply, understand",Paper 1 (quadratic forms),5 / 10,Students should be able to work with different forms of quadratic functions and convert between them.
66,SL 2.6,SL 2.6c,Vertex and Axis of Symmetry,Understanding the vertex and axis of symmetry in quadratic functions.,"Students learn to find vertices (h,k) from vertex form, understand the axis of symmetry x = h, and connect to real-world applications.","Find, understand, apply",Paper 1 (vertex analysis),5 / 10,Students should be able to find vertices and axes of symmetry of quadratic functions.
67,SL 2.7,SL 2.7a,Solving Quadratic Equations,Understanding methods for solving quadratic equations.,"Students learn factorization, completing the square, and the quadratic formula to solve quadratic equations in various contexts.","Solve, apply, choose",Paper 1 (equation solving),5 / 10,Students should be able to solve quadratic equations using appropriate methods.
68,SL 2.7,SL 2.7b,The Quadratic Formula and Discriminant,Understanding the quadratic formula and discriminant analysis.,"Students learn x = (-b ± √(b²-4ac))/2a, understand the discriminant Δ = b²-4ac, and analyze the nature of roots.","Apply, analyze, interpret",Paper 1 (quadratic formula),6 / 10,Students should be able to use the quadratic formula and analyze the nature of roots using the discriminant.
69,SL 2.7,SL 2.7c,Quadratic Inequalities,Understanding and solving quadratic inequalities.,"Students learn to solve quadratic inequalities, understand the relationship to quadratic equations, and represent solutions graphically.","Solve, represent, interpret",Paper 1 (inequality solving),6 / 10,Students should be able to solve quadratic inequalities and represent their solutions appropriately.
70,SL 2.8,SL 2.8a,Reciprocal Functions,Understanding the reciprocal function f(x) = 1/x and its properties.,"Students explore the graph of 1/x, understand its self-inverse nature, and identify key features like asymptotes.","Understand, graph, analyze",Paper 1 (reciprocal functions),5 / 10,Students should be able to understand and graph reciprocal functions and identify their key properties.
71,SL 2.8,SL 2.8b,Rational Functions,Working with rational functions of the form f(x) = (ax+b)/(cx+d).,"Students learn to graph rational functions, find asymptotes, and understand the behavior of these functions.","Graph, find, understand",Paper 1 (rational functions),6 / 10,Students should be able to graph rational functions and identify their asymptotes and behavior.
72,SL 2.8,SL 2.8c,Asymptotes of Rational Functions,Understanding vertical and horizontal asymptotes in rational functions.,"Students learn to find vertical asymptotes x = -d/c and horizontal asymptotes y = a/c, understanding their significance.","Find, understand, interpret",Paper 1 (asymptote analysis),6 / 10,Students should be able to find and interpret asymptotes of rational functions.
73,SL 2.9,SL 2.9a,Exponential Functions,Understanding exponential functions and their properties.,"Students explore f(x) = a^x where a > 0, learn about exponential growth and decay, and understand the relationship to logarithms.","Understand, explore, connect",Paper 1 (exponential functions),5 / 10,Students should be able to understand and work with exponential functions and their properties.
74,SL 2.9,SL 2.9b,Graphs of Exponential Functions,Understanding the graphs and behavior of exponential functions.,"Students learn to graph exponential functions, understand asymptotes, and analyze the effects of different bases on the graph.","Graph, analyze, understand",Paper 1 (exponential graphs),5 / 10,Students should be able to graph exponential functions and analyze their behavior.
75,SL 2.9,SL 2.9c,Exponential Equations and Applications,Solving exponential equations and applying them in context.,"Students learn to solve exponential equations using logarithms, understand exponential models, and apply them to real-world problems.","Solve, apply, model",Paper 1 (exponential equations),6 / 10,Students should be able to solve exponential equations and apply exponential models to real-world situations.
76,SL 2.10,SL 2.10a,Logarithmic Functions,Understanding logarithmic functions and their relationship to exponentials.,"Students explore f(x) = log_a(x), understand the inverse relationship with exponential functions, and learn about common and natural logarithms.","Understand, explore, connect",Paper 1 (logarithmic functions),5 / 10,Students should be able to understand logarithmic functions and their relationship to exponential functions.
77,SL 2.10,SL 2.10b,Graphs of Logarithmic Functions,Understanding the graphs and properties of logarithmic functions.,"Students learn to graph logarithmic functions, understand their domain and range, and analyze the effects of different bases.","Graph, analyze, understand",Paper 1 (logarithmic graphs),5 / 10,Students should be able to graph logarithmic functions and understand their properties.
78,SL 2.10,SL 2.10c,Logarithmic Equations and Applications,Solving logarithmic equations and applying them in context.,"Students learn to solve logarithmic equations, understand logarithmic models, and apply them to real-world problems.","Solve, apply, model",Paper 1 (logarithmic equations),6 / 10,Students should be able to solve logarithmic equations and apply logarithmic models to real-world situations.
79,SL 2.11,SL 2.11a,Function Transformations,Understanding transformations of functions and their effects.,"Students learn about vertical and horizontal translations, reflections, and stretches/compressions, and how they affect function graphs.","Understand, apply, transform",Paper 1 (function transformations),6 / 10,Students should be able to understand and apply transformations to function graphs.
80,SL 2.11,SL 2.11b,Combining Transformations,Working with multiple transformations applied to functions.,"Students learn to combine multiple transformations, understand the order of operations, and predict the effects on function graphs.","Combine, predict, analyze",Paper 1 (combined transformations),6 / 10,Students should be able to combine multiple transformations and predict their effects on function graphs.
81,SL 2.11,SL 2.11c,Transformation Applications,Applying transformations to solve problems and model situations.,"Students learn to use transformations to solve problems, model real-world situations, and understand the practical applications of function transformations.","Apply, model, solve",Paper 1 (transformation applications),6 / 10,Students should be able to apply transformations to solve problems and model real-world situations.
82,AHL 2.12,AHL 2.12a,Polynomial Functions,Understanding polynomial functions and their properties.,"Students explore polynomial functions of degree n, learn about their graphs, end behavior, and fundamental properties of polynomials.","Understand, explore, analyze",Paper 1 (polynomial functions),6 / 10,Students should be able to understand polynomial functions and their fundamental properties.
83,AHL 2.12,AHL 2.12b,The Factor Theorem,Understanding the factor theorem and its applications.,"Students learn that if f(a) = 0, then (x-a) is a factor of f(x), and use this to factor polynomials and find roots.","Apply, factor, find",Paper 1 (factor theorem),7 / 10,Students should be able to apply the factor theorem to factor polynomials and find roots.
84,AHL 2.12,AHL 2.12c,The Remainder Theorem,Understanding the remainder theorem and polynomial division.,"Students learn that when f(x) is divided by (x-a), the remainder is f(a), and apply this to polynomial division problems.","Apply, divide, find",Paper 1 (remainder theorem),7 / 10,Students should be able to apply the remainder theorem to polynomial division problems.
85,AHL 2.13,AHL 2.13a,Advanced Rational Functions,Working with more complex rational functions and their properties.,"Students explore rational functions with higher degree polynomials, learn about multiple asymptotes, and analyze their behavior.","Explore, analyze, understand",Paper 1 (advanced rational functions),7 / 10,Students should be able to work with complex rational functions and analyze their properties.
86,AHL 2.13,AHL 2.13b,Oblique Asymptotes,Understanding oblique asymptotes in rational functions.,"Students learn to find oblique asymptotes using polynomial long division, understand when they occur, and analyze their significance.","Find, understand, analyze",Paper 1 (oblique asymptotes),7 / 10,Students should be able to find and analyze oblique asymptotes in rational functions.
87,AHL 2.13,AHL 2.13c,Advanced Rational Function Applications,Applying advanced rational function concepts to solve complex problems.,"Students learn to solve complex problems involving rational functions, including optimization and modeling applications.","Solve, apply, model",Paper 1 (rational applications),7 / 10,Students should be able to apply advanced rational function concepts to solve complex problems.
88,AHL 2.14,AHL 2.14a,Advanced Composite Functions,Working with complex composite functions and their properties.,"Students learn to work with composite functions involving multiple operations, understand domain restrictions, and analyze their behavior.","Compose, analyze, understand",Paper 1 (advanced composition),7 / 10,Students should be able to work with complex composite functions and understand their properties.
89,AHL 2.14,AHL 2.14b,Advanced Inverse Functions,Understanding inverse functions for complex functions and their properties.,"Students learn to find inverses of complex functions, understand domain and range restrictions, and work with inverse function properties.","Find, understand, apply",Paper 1 (advanced inverses),7 / 10,Students should be able to find and work with inverse functions of complex functions.
90,AHL 2.14,AHL 2.14c,Function Composition and Inversion Applications,Applying advanced function composition and inversion to solve problems.,Students learn to apply advanced concepts of function composition and inversion to solve complex mathematical problems.,"Apply, solve, model",Paper 1 (composition applications),7 / 10,Students should be able to apply advanced function composition and inversion concepts to solve problems.
91,AHL 2.15,AHL 2.15a,Advanced Rational Function Inequalities,Understanding and solving complex rational function inequalities.,"Students learn to solve rational function inequalities, understand the relationship to rational equations, and represent solutions graphically.","Solve, represent, interpret",Paper 1 (rational inequalities),7 / 10,Students should be able to solve complex rational function inequalities and represent their solutions appropriately.
92,AHL 2.15,AHL 2.15b,Rational Function Domain and Range,Understanding domain and range restrictions in rational functions.,"Students learn to find domain and range of rational functions, understand restrictions, and analyze the effects of asymptotes.","Find, analyze, understand",Paper 1 (domain range analysis),7 / 10,Students should be able to find and analyze domain and range of rational functions.
