Sl. No.,topic_number,lesson_code,lesson_title,conceptual_focus,lesson_description,skill_emphasis,assessment_context,difficulty_level,learning_outcome,content_type,title,content
22,SL 1.4,SL 1.4b,Annual Depreciation and Investment Analysis,Applying geometric sequences to depreciation and investment calculations.,Students calculate annual depreciation rates and analyze real investment values with inflation considerations.,"Calculate, analyze, interpret",Paper 2 (contextual problems),5 / 10,Students should be able to calculate depreciation and real investment values using geometric sequence principles.,concepts,Depreciation vs. Appreciation,"Depreciation is negative growth ($0 < r < 1$), opposite of compound interest. Assets like cars lose value geometrically. Real investment value accounts for inflation: nominal growth minus inflation rate. A 5% return with 3% inflation gives ~2% real return. Understanding both helps evaluate true investment performance and asset value over time."
24,SL 1.4,SL 1.4c,Technology and Financial Modeling,Using technology to solve complex financial problems involving geometric sequences.,"Students use GDCs and financial packages to model compound interest, depreciation, and investment scenarios.","Use technology, model, solve",Paper 2 (technology applications),6 / 10,Students should be able to use appropriate technology to solve complex financial problems involving geometric sequences.,concepts,Technology in Financial Analysis,"Graphing calculators solve complex problems: finding time to reach target amount, comparing investment strategies, sensitivity analysis. Graph multiple scenarios simultaneously. Tables show detailed period-by-period changes. This technology is essential for real financial planning, mortgage calculations, and retirement modeling where manual calculation is impractical."
26,SL 1.5,SL 1.5a,Introduction to Logarithms,Understanding logarithms as the inverse of exponential functions.,"Students explore the relationship between a^x = b and log_a(b) = x, focusing on base 10 and base e.","Understand, connect, explore",Paper 1 (conceptual understanding),3 / 10,Students should be able to understand the logarithmic relationship and convert between exponential and logarithmic forms.,concepts,Logarithms as Inverse Functions,"Logarithms 'undo' exponentiation. If $a^x = b$, then $\log_a(b) = x$. The logarithm answers: 'To what power must I raise $a$ to get $b$?' Domain: $b > 0$ only (can't take log of negative/zero). This inverse relationship is fundamental: $a^{\log_a(x)} = x$ and $\log_a(a^x) = x$."
28,SL 1.5,SL 1.5b,Evaluating Logarithms Using Technology,Using technology to evaluate logarithms and understanding their properties.,"Students use calculators and technology to find log values, understanding the domain restrictions and special cases.","Use technology, evaluate, understand",Paper 1 (calculation skills),4 / 10,Students should be able to evaluate logarithms using technology and understand their mathematical properties.,concepts,Properties and Restrictions,"Logarithm domain: $x > 0$ only. Special values: $\log_a(1) = 0$ (any base), $\log_a(a) = 1$. Negative results possible: $\log_{10}(0.01) = -2$. Use change of base formula for non-standard bases. Understanding domain prevents errors and helps interpret results in applied contexts."
30,SL 1.5,SL 1.5c,Logarithmic Applications in Context,Applying logarithms to real-world contexts like Richter scale and pH calculations.,"Students solve problems involving logarithmic scales in physics, chemistry, and other scientific contexts.","Apply, solve, interpret",Paper 2 (contextual applications),5 / 10,Students should be able to apply logarithmic concepts to solve real-world problems in various scientific contexts.,concepts,Why Logarithmic Scales?,Logarithmic scales compress huge ranges into manageable numbers. Earthquake intensity varies by billions—Richter scale makes it 1-10. pH measures H+ concentration from $10^{-14}$ to $10^0$ M as 0-14. Sound intensity spans trillions—decibels compress to 0-140. These scales make extreme variations comprehensible and easy to communicate.
32,SL 1.6,SL 1.6a,Introduction to Mathematical Proof,Understanding the nature and structure of mathematical proof.,"Students learn about equality vs identity, LHS to RHS proofs, and the importance of logical reasoning in mathematics.","Understand, reason, justify",Paper 1 (proof structure),4 / 10,Students should be able to understand the basic structure of mathematical proofs and distinguish between equality and identity.,concepts,The Nature of Mathematical Proof,"Proof establishes truth beyond doubt using logical reasoning. Unlike verification (testing examples), proof shows a statement holds universally. Structure: State what to prove, show each logical step with justification, reach conclusion. Proofs build mathematical knowledge—once proven, results become tools for further mathematics. Critical thinking skill applicable beyond math."
34,SL 1.6,SL 1.6b,Simple Deductive Proof Techniques,Developing skills in basic deductive proof methods.,"Students practice LHS to RHS proofs, numerical verification, and algebraic manipulation to establish mathematical truths.","Prove, manipulate, verify",Paper 1 (proof techniques),5 / 10,Students should be able to construct simple deductive proofs using appropriate algebraic techniques.,concepts,Deductive Reasoning in Algebra,"Deductive proof uses accepted rules to show truth. Start with given (LHS), apply valid algebraic operations (each step reversible and justified), arrive at target (RHS). Don't work backwards! Numerical verification (testing values) suggests truth but doesn't prove it—need general algebraic argument. Each step builds logically on previous."
36,SL 1.6,SL 1.6c,Checking and Verifying Results,Learning to verify mathematical results and check one's own work.,"Students develop skills in self-checking, result verification, and identifying errors in mathematical reasoning.","Check, verify, self-assess",Paper 1 (verification skills),4 / 10,Students should be able to check their mathematical results and verify the correctness of their solutions.,concepts,The Importance of Self-Checking,"Mathematical accuracy requires verification. Common errors: sign mistakes, algebraic slips, wrong formula application. Develop habit: after solving, always check. Substitution catches most errors. Estimation prevents absurd answers (e.g., negative distance). In exams, verification can save marks. Professional mathematics demands rigorous checking—error detection is crucial skill."
38,SL 1.7,SL 1.7a,Laws of Exponents with Rational Exponents,Understanding and applying exponent laws to rational exponents.,Students explore a^(m/n) = n√(a^m) and apply exponent laws to expressions with fractional exponents.,"Understand, apply, simplify",Paper 1 (exponent manipulation),4 / 10,Students should be able to simplify expressions with rational exponents using appropriate laws and notation.,concepts,Rational Exponents Connect Powers and Roots,"Fractional exponents unify powers and roots. Denominator indicates root type ($a^{1/2} = \sqrt{a}$), numerator indicates power. This notation allows applying exponent laws to roots. $a^{0.5} = \sqrt{a}$, $a^{0.25} = \sqrt[4]{a}$. Simplification often easier in exponent form than radical form. Understanding this connection is essential for calculus and beyond."
40,SL 1.7,SL 1.7b,Fundamental Laws of Logarithms,Understanding and applying the basic logarithmic identities and laws.,"Students learn and apply log_a(xy) = log_a(x) + log_a(y), log_a(x/y) = log_a(x) - log_a(y), and log_a(x^n) = n·log_a(x).","Apply, manipulate, solve",Paper 1 (logarithmic manipulation),5 / 10,Students should be able to apply logarithmic laws to simplify and solve logarithmic expressions.,concepts,Why Logarithm Laws Work,"Log laws come from exponent laws. Since $\log$ is inverse of exponentiation: $a^m \cdot a^n = a^{m+n}$ becomes $\log_a(xy) = \log_a(x) + \log_a(y)$. Multiplication becomes addition! This property made logarithms essential for calculation before calculators—converting multiplication to easier addition. Today, these laws simplify expressions and solve exponential equations."
42,SL 1.7,SL 1.7c,Change of Base and Logarithmic Equations,Using change of base formula and solving logarithmic equations.,Students apply log_a(x) = log_b(x)/log_b(a) and solve equations involving logarithms with different bases.,"Solve, convert, apply",Paper 1 (equation solving),6 / 10,Students should be able to change logarithmic bases and solve equations involving logarithms.,concepts,Strategy for Logarithmic Equations,To solve log equations: (1) Use log laws to combine into single log. (2) Convert to exponential form. (3) Solve algebraically. (4) CHECK: solution must make original arguments positive (domain!). Change of base allows calculator evaluation of any base. Common mistake: forgetting domain restrictions—always verify $x > 0$ for all log arguments.
44,SL 1.8,SL 1.8a,Infinite Geometric Series and Convergence,Understanding when geometric series converge and their sum formula.,Students explore the condition |r| < 1 for convergence and derive S_∞ = u₁/(1-r) for infinite geometric series.,"Understand, derive, apply",Paper 1 (series convergence),5 / 10,Students should be able to determine convergence of infinite geometric series and calculate their sums.,concepts,Convergence Explained,"Infinite series converges if partial sums approach a limit. For geometric series with $|r| < 1$, each term is smaller than previous—sum approaches finite value. If $|r| \geq 1$, terms don't shrink enough (or grow)—sum becomes infinite. Remarkable: infinitely many terms can sum to finite number! Foundation for calculus and analysis."
46,SL 1.8,SL 1.8b,Applications of Infinite Series,Applying infinite geometric series to real-world problems.,"Students solve problems involving infinite series in contexts like repeating decimals, fractal geometry, and mathematical modeling.","Apply, model, interpret",Paper 2 (contextual applications),6 / 10,Students should be able to apply infinite geometric series to solve real-world problems and interpret results.,concepts,Infinite Series in Nature and Math,"Infinite series appear everywhere: repeating decimals (pure fractions), fractal perimeters (Koch snowflake has infinite perimeter!), drug dosage (accumulation in body), bouncing ball (total distance). Zeno's paradox resolved: infinitely many intervals can sum to finite distance. Understanding infinite series is crucial for advanced mathematics and modeling continuous processes."
48,SL 1.8,SL 1.8c,Modulus and Series Convergence,Understanding the role of modulus in series convergence criteria.,"Students explore |r| < 1 condition, work with negative ratios, and understand the geometric interpretation of convergence.","Understand, analyze, interpret",Paper 1 (conceptual understanding),5 / 10,Students should be able to understand and apply modulus conditions for series convergence.,concepts,Why Modulus Matters,"Modulus $|r|$ measures magnitude regardless of sign. For convergence, terms must shrink in absolute value. $r = -0.5$: terms alternate ($+,-,+,-$) but decrease in size—converges. $r = -2$: terms alternate but grow—diverges. Geometric interpretation: modulus gives distance from zero. $|r| < 1$ means ratio closer to zero than to ±1, ensuring decay."
50,SL 1.9,SL 1.9a,Introduction to the Binomial Theorem,Understanding the expansion of (a + b)^n for positive integer exponents.,"Students explore Pascal's triangle, understand the pattern of coefficients, and learn the basic binomial expansion formula.","Understand, recognize, apply",Paper 1 (pattern recognition),4 / 10,Students should be able to understand the binomial theorem and recognize its applications.,concepts,Pascal's Triangle and Patterns,"Pascal's triangle gives binomial coefficients: each entry is sum of two above. Row $n$ gives coefficients for $(a+b)^n$. Symmetry: $\binom{n}{k} = \binom{n}{n-k}$. Sum of row $n$ is $2^n$. This ancient pattern connects to probability, combinatorics, and algebra. Binomial theorem efficiently expands powers without tedious multiplication."
52,SL 1.9,SL 1.9b,Using Pascal's Triangle and Combinations,Applying Pascal's triangle and combination notation to binomial expansions.,"Students learn to use nCr notation, find specific terms in expansions, and connect combinations to binomial coefficients.","Apply, calculate, find",Paper 1 (calculation skills),5 / 10,Students should be able to use Pascal's triangle and combinations to find specific terms in binomial expansions.,concepts,Combinations in Binomial Expansions,"$\binom{n}{k}$ counts ways to choose $k$ items from $n$—also gives binomial coefficient! This deep connection links algebra and counting. To find specific term: identify power needed, use general term formula. Don't expand entire expression—wasteful! Pascal's triangle works for small $n$; combination formula for larger. Understanding this saves time in exams."
54,SL 1.9,SL 1.9c,Applications of the Binomial Theorem,Applying binomial theorem to solve problems and find specific terms.,"Students solve problems involving binomial expansions, find particular terms, and apply the theorem in various contexts.","Apply, solve, find",Paper 1 (problem solving),6 / 10,Students should be able to apply the binomial theorem to solve problems and find specific terms in expansions.,concepts,Practical Uses of Binomial Theorem,Beyond expansion: (1) Find specific coefficients without full expansion. (2) Approximate calculations: $(1.02)^{10} \approx (1+0.02)^{10} \approx 1 + 10(0.02) = 1.2$ (first two terms). (3) Probability: binomial distribution uses these coefficients. (4) Calculus: foundation for Taylor series. Efficient tool for polynomial manipulation and approximation.
56,AHL 1.10,AHL 1.10a,Counting Principles and Permutations,Understanding fundamental counting principles and permutation concepts.,"Students explore the multiplication principle, factorial notation, and calculate permutations for different arrangements.","Count, calculate, arrange",Paper 1 (counting problems),5 / 10,Students should be able to apply counting principles and calculate permutations in various contexts.,concepts,Understanding Permutations,"Permutations count ordered arrangements. Order matters! Arranging ABC gives 6 permutations: ABC, ACB, BAC, BCA, CAB, CBA. Multiplication principle: first choice ($n$ options), second choice ($n-1$ options), etc. Factorial grows explosively: 10! = 3,628,800. Permutations essential for probability, computer science, and combinatorics."
58,AHL 1.10,AHL 1.10b,Combinations and Selection Problems,Understanding combinations and their applications in selection problems.,"Students learn the difference between permutations and combinations, calculate nCr, and solve selection problems.","Distinguish, calculate, select",Paper 1 (combination problems),6 / 10,Students should be able to distinguish between permutations and combinations and solve selection problems.,concepts,Permutations vs Combinations,"Key difference: ORDER. Permutations: order matters (passwords, race positions). Combinations: order doesn't matter (selecting committee, choosing toppings). Choosing 2 from {A,B,C}: Combinations (3): {A,B}, {A,C}, {B,C}. Permutations (6): AB, BA, AC, CA, BC, CB. Always: $C(n,r) \leq P(n,r)$. Ask: does order matter?"
60,AHL 1.10,AHL 1.10c,Extended Binomial Theorem,Extending the binomial theorem to fractional and negative indices.,"Students explore (a + b)^n for n ∈ ℚ, understand convergence conditions, and apply to approximations.","Extend, understand, approximate",Paper 1 (extended applications),7 / 10,Students should be able to apply the extended binomial theorem to fractional and negative indices.,concepts,Convergence and Applications,"Extended binomial needs $|x| < 1$ to converge—infinite series! Used for approximations: $\sqrt{1.04} = (1+0.04)^{1/2} \approx 1 + \frac{1}{2}(0.04) = 1.02$. Powerful for calculus, Taylor series, and numerical methods. Fractional/negative powers generate infinite expansions—truncate for approximations. Convergence crucial: outside $|x| < 1$, series diverges (meaningless)."
62,AHL 1.11,AHL 1.11a,Introduction to Partial Fractions,Understanding the decomposition of rational expressions into partial fractions.,Students learn to express rational functions as sums of simpler fractions with linear denominators.,"Decompose, express, simplify",Paper 1 (algebraic manipulation),6 / 10,Students should be able to decompose rational expressions into partial fractions with linear denominators.,concepts,Why Partial Fractions?,"Partial fractions reverse the process of adding fractions—decompose complex fraction into simpler parts. Essential for integration: $\int \frac{1}{(x-a)(x-b)}dx$ becomes sum of simple logs. Also used in Laplace transforms, differential equations. Think: 'un-adding' fractions. Makes complex rational expressions manageable for calculus operations."
64,AHL 1.11,AHL 1.11b,Partial Fractions with Two Linear Terms,Working with partial fractions containing two distinct linear factors.,Students practice decomposing expressions like (2x+1)/((x-1)(x+2)) into A/(x-1) + B/(x+2) form.,"Decompose, solve, verify",Paper 1 (partial fraction decomposition),7 / 10,Students should be able to decompose rational expressions with two linear factors into partial fractions.,concepts,Techniques for Decomposition,Two main methods: (1) Substitution method—choose clever $x$ values to eliminate terms. (2) Equating coefficients—expand and match powers of $x$. Substitution faster but needs distinct linear factors. Always verify by adding fractions back! Common error: forgetting to check if fraction is proper (numerator degree < denominator degree).
66,AHL 1.11,AHL 1.11c,Applications of Partial Fractions,Applying partial fractions to integration and other mathematical contexts.,Students connect partial fractions to integration techniques and solve problems involving rational function integration.,"Apply, integrate, solve",Paper 1 (integration applications),7 / 10,Students should be able to apply partial fractions to solve integration problems involving rational functions.,concepts,Partial Fractions in Calculus,"Primary application: integration of rational functions. Without partial fractions, many integrals impossible by hand. Decompose complex fraction → integrate simple terms → combine. Also appears in differential equations, signal processing, control theory. Transforms difficult problem into manageable pieces. Essential technique bridging algebra and calculus."
68,AHL 1.12,AHL 1.12a,Introduction to Complex Numbers,Understanding the imaginary unit i and basic complex number operations.,"Students explore i = √(-1), complex number form a + bi, and basic arithmetic operations with complex numbers.","Understand, operate, represent",Paper 1 (complex arithmetic),5 / 10,Students should be able to perform basic arithmetic operations with complex numbers in Cartesian form.,concepts,Extending the Number System,"Complex numbers extend reals to solve $x^2+1=0$. Revolutionary: $i=\sqrt{-1}$ initially called 'impossible'. Complex numbers are pairs $(a,b)$ written $a+bi$. NOT more abstract—equally valid as negative numbers were once controversial! Essential for electrical engineering, quantum mechanics, signal processing. Complete the number system."
70,AHL 1.12,AHL 1.12b,Complex Plane and Argand Diagrams,Representing complex numbers geometrically in the complex plane.,"Students plot complex numbers, understand real/imaginary parts, conjugates, and geometric interpretations.","Plot, interpret, visualize",Paper 1 (geometric representation),6 / 10,Students should be able to represent complex numbers geometrically and understand their properties in the complex plane.,concepts,Geometric Interpretation,"Argand diagram visualizes complex numbers as points/vectors. Addition: vector addition (parallelogram rule). Conjugate: reflection over real axis. Distance from origin = modulus. This geometric view reveals deep connections: multiplication rotates and scales! Complex plane bridges algebra and geometry, essential for understanding complex analysis."
72,AHL 1.12,AHL 1.12c,Modulus and Argument of Complex Numbers,Understanding the modulus and argument of complex numbers.,"Students calculate |z| and arg(z), understand their geometric meaning, and connect to vector representations.","Calculate, interpret, connect",Paper 1 (modulus and argument),6 / 10,Students should be able to calculate and interpret the modulus and argument of complex numbers.,concepts,Polar Representation Basics,Modulus measures 'size' or magnitude; argument measures direction/angle. Together they give polar coordinates. Principal argument: $-\pi < \theta \leq \pi$. Be careful with quadrants! $\tan^{-1}$ gives wrong quadrant sometimes. Check signs of $a$ and $b$ separately. This polar view essential for multiplication and De Moivre's theorem.
74,AHL 1.13,AHL 1.13a,Polar and Euler Forms of Complex Numbers,"Converting between Cartesian, polar, and Euler forms of complex numbers.","Students learn z = r(cos θ + i sin θ) = r cis θ and z = re^(iθ), understanding the connections between forms.","Convert, represent, understand",Paper 1 (form conversion),6 / 10,"Students should be able to convert complex numbers between Cartesian, polar, and Euler forms.",concepts,Euler's Formula Connection,"Euler's formula $e^{i\theta} = \cos\theta + i\sin\theta$ is one of mathematics' most beautiful results! Links exponentials, trig, and complex numbers. Special case: $e^{i\pi} + 1 = 0$ (Euler's identity). Polar form reveals multiplication structure clearer than Cartesian. Each representation has advantages—choose based on operation needed."
76,AHL 1.13,AHL 1.13b,Operations in Different Complex Forms,Performing arithmetic operations in polar and Euler forms.,"Students add, multiply, and divide complex numbers in polar/Euler forms, understanding geometric interpretations.","Operate, interpret, visualize",Paper 1 (complex operations),7 / 10,Students should be able to perform arithmetic operations with complex numbers in polar and Euler forms.,concepts,Why Polar Form for Multiplication?,"In Cartesian: $(a+bi)(c+di) = (ac-bd) + (ad+bc)i$ —messy! In polar: $r_1\text{cis}\,\theta_1 \times r_2\text{cis}\,\theta_2 = r_1r_2\text{cis}(\theta_1+\theta_2)$ —elegant! Multiplication = scale by $r$ AND rotate by $\theta$. This geometric insight powerful for physics (AC circuits), engineering, fractals. Addition easier in Cartesian; multiplication easier in polar."
78,AHL 1.13,AHL 1.13c,Geometric Interpretation of Complex Operations,Understanding the geometric meaning of complex number operations.,Students explore how multiplication by complex numbers represents rotations and scalings in the complex plane.,"Interpret, visualize, understand",Paper 1 (geometric understanding),7 / 10,Students should be able to interpret complex number operations geometrically in the complex plane.,concepts,Visualization Makes Complex Clear,"Geometric view demystifies complex numbers. Multiplying by $i$ rotates 90°—that's why $i^2=-1$ (180° rotation). Multiplication combines rotation and scaling—powerful for transformations. Used in computer graphics, quantum mechanics, signal processing. The complex plane isn't abstract—it's a geometric tool for understanding rotations and oscillations."
80,AHL 1.14,AHL 1.14a,Complex Roots of Polynomial Equations,Understanding complex conjugate roots of polynomials with real coefficients.,Students explore how complex roots occur in conjugate pairs and solve polynomial equations with complex solutions.,"Solve, understand, apply",Paper 1 (polynomial equations),7 / 10,Students should be able to find complex roots of polynomial equations and understand conjugate pair properties.,concepts,Why Conjugate Pairs?,Real polynomial coefficients force complex roots to appear in conjugate pairs. Why? Real coefficients mean imaginary parts must cancel when expanded. Consequence: real polynomials of odd degree always have at least one real root (pairs use even number of roots). Fundamental Theorem of Algebra: degree $n$ polynomial has exactly $n$ complex roots (counting multiplicity).
82,AHL 1.14,AHL 1.14b,De Moivre's Theorem,Understanding and applying De Moivre's theorem for powers and roots.,Students learn (r cis θ)^n = r^n cis(nθ) and apply it to find powers and roots of complex numbers.,"Apply, calculate, derive",Paper 1 (De Moivre applications),8 / 10,Students should be able to apply De Moivre's theorem to find powers and roots of complex numbers.,concepts,Powers and Roots of Complex Numbers,"De Moivre makes powers trivial: raise modulus to power, multiply argument by $n$. For roots: $n$th roots equally spaced around circle of radius $r^{1/n}$. Example: cube roots of 1 form equilateral triangle! Applications: solving polynomial equations, Fourier analysis, fractals. Elegant connection between algebra and geometry."
84,AHL 1.14,AHL 1.14c,Proof by Induction for De Moivre's Theorem,Proving De Moivre's theorem using mathematical induction.,Students develop proof by induction skills while establishing the validity of De Moivre's theorem for positive integers.,"Prove, induct, establish",Paper 1 (proof by induction),8 / 10,Students should be able to prove De Moivre's theorem using mathematical induction.,concepts,Induction as Domino Effect,"Induction like dominos: prove first falls (base case), prove if $k$th falls then $(k+1)$th falls (inductive step). Then all fall! For De Moivre: base case easy ($n=1$), inductive step uses angle addition. This proof technique powerful—works for many sequence/formula statements. Essential tool in discrete mathematics."
86,AHL 1.15,AHL 1.15a,Mathematical Induction Fundamentals,Understanding the principle and structure of proof by mathematical induction.,"Students learn the base case, inductive hypothesis, and inductive step, applying to simple mathematical statements.","Understand, apply, prove",Paper 1 (induction basics),7 / 10,Students should be able to understand and apply the basic structure of mathematical induction.,concepts,Why Induction Works,"Induction based on well-ordering principle: every non-empty set of positive integers has smallest element. If statement fails somewhere, there's a smallest $n$ where it fails—but inductive step says if true at $k$, true at $k+1$. Contradiction! Powerful for proving formulas, divisibility, inequalities. Foundation of discrete mathematics and computer science."
88,AHL 1.15,AHL 1.15b,Proof by Contradiction,Understanding and applying proof by contradiction techniques.,"Students learn to assume the negation of what they want to prove and derive a contradiction, exploring classic examples.","Assume, derive, contradict",Paper 1 (contradiction proofs),8 / 10,Students should be able to construct proofs by contradiction for various mathematical statements.,concepts,The Power of Contradiction,"Sometimes proving $P$ directly is hard, but assuming $\neg P$ leads to obvious impossibility. Classic example: infinitely many primes (assume finite list, construct contradiction). Indirect but powerful. Used throughout mathematics. Reveals truth by showing alternative is impossible. Requires careful logic—must reach genuine contradiction."
90,AHL 1.15,AHL 1.15c,Counterexamples and Disproof,Using counterexamples to show that statements are not always true.,Students learn to find specific examples that contradict general statements and explain why they serve as counterexamples.,"Find, explain, disprove",Paper 1 (counterexample construction),7 / 10,Students should be able to construct counterexamples to disprove mathematical statements and explain their validity.,concepts,Finding Good Counterexamples,"To disprove, find ONE case where statement fails. Strategy: test boundary cases, special values (0, 1, -1), extremes. Counterexample must be valid (satisfy all conditions except conclusion). Common in exams: given statement, prove or disprove. If suspicious, search for counterexample. Develops critical thinking—question assumptions, test claims."
92,AHL 1.16,AHL 1.16a,Systems of Linear Equations,Understanding and solving systems of linear equations with up to three unknowns.,"Students learn to solve systems using algebraic methods and technology, understanding unique solutions, infinite solutions, and no solutions.","Solve, analyze, interpret",Paper 1 (system solving),6 / 10,Students should be able to solve systems of linear equations and interpret the nature of their solutions.,concepts,Geometric Interpretation,System of 2 equations = 2 lines. Solution = intersection point(s). Unique: lines cross once. Infinite: identical lines. None: parallel lines. For 3 variables: equations represent planes—solution is intersection of planes. Understanding geometry helps interpret solutions. Technology essential for larger systems.
